@RELATION E:\presentation\ThesisData-master\ThesisData-master\models\0.9_0.6_0.06_0.02\svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {tremoulo1,tremoulo2,kalopismos,2xordes,sigxordia}

@DATA
0.049485,0.025434,3.178000,0.113672,0.162455,0.138728,0.003111,0.052303,-25.477172,1.162082,-1.363461,0.262551,-0.046208,-1.099234,-0.362122,-0.406058,0.396665,0.812205,0.223738,-0.652769,-0.038313,0.000704,0.000518,0.000365,0.001138,0.001057,0.036795,0.001872,0.001390,0.001519,0.003571,0.119590,0.008590,0.035487,0.007994,0.018555,0.169829,0.019758,0.025386,0.078526,0.001930,0.006331,1.250352,0.501286,0.414994,0.418344,0.325922,0.350651,0.333826,0.260818,0.212192,0.204734,0.174576,0.184548,0.156449,0.000466,0.000319,0.000205,0.001150,0.000655,0.023976,0.001616,0.001105,0.001480,0.003181,0.059442,0.007249,0.014007,tremoulo1
0.049553,0.049293,3.182020,0.124627,0.162481,0.456194,0.003253,0.070843,-23.346935,1.468425,-0.645740,-0.561734,-0.644798,-0.692535,-0.131525,0.768301,0.083674,-0.478009,-0.352877,0.053537,-0.113472,0.041945,0.020506,0.035560,0.005753,0.001914,0.002733,0.001757,0.001704,0.001035,0.002689,0.002348,0.002554,0.021887,0.012416,0.020549,0.116905,0.015423,0.021128,0.209948,0.001904,0.028184,0.520893,0.302475,0.315877,0.316485,0.237258,0.301517,0.251510,0.175224,0.198040,0.206423,0.173763,0.174007,0.171664,0.022393,0.013770,0.021075,0.003677,0.001158,0.002149,0.001599,0.001143,0.000881,0.001935,0.002152,0.002375,0.009022,tremoulo1
0.053347,0.031637,3.179090,0.137023,0.162820,0.611687,0.002675,0.096330,-25.080724,0.932833,-1.071284,-0.830925,0.495515,0.396204,-0.142547,-0.999572,-0.317759,0.821110,-0.050903,-0.232116,-0.092291,0.000320,0.000342,0.000323,0.000750,0.000648,0.000904,0.001852,0.003297,0.159680,0.010448,0.002179,0.000451,0.044133,0.019057,0.018604,0.154739,0.017597,0.023258,0.252581,0.002184,0.034254,0.957920,0.459911,0.374223,0.313774,0.276760,0.266132,0.221881,0.285193,0.195551,0.197795,0.172551,0.190993,0.152821,0.000201,0.000213,0.000220,0.000467,0.000425,0.000595,0.001571,0.002027,0.059724,0.010514,0.001772,0.000303,0.015888,tremoulo1
0.052764,0.054005,3.154471,0.121910,0.160242,0.216394,0.005852,0.054586,-24.529275,0.579943,-1.259775,0.057063,-0.340650,-0.365218,0.784290,0.017317,-1.164280,-0.288866,0.702871,0.056203,-0.055436,0.000340,0.000356,0.000399,0.001035,0.003298,0.075262,0.002050,0.000940,0.000612,0.000887,0.000465,0.000196,0.020590,0.005260,0.032380,0.137732,0.018108,0.025280,0.097304,0.004608,0.005703,0.956015,0.461089,0.421573,0.317547,0.294820,0.238684,0.294107,0.199131,0.202998,0.161863,0.214780,0.192074,0.162245,0.000274,0.000247,0.000312,0.000814,0.002869,0.038179,0.001757,0.000749,0.000622,0.000938,0.000453,0.000197,0.010511,tremoulo1
0.047691,0.039960,3.070626,0.127774,0.163826,0.257460,0.006833,0.051499,-25.376053,0.801161,-1.286708,-0.184468,0.598853,0.480694,-0.735775,-0.845621,0.707876,0.214214,-0.399063,-0.148105,0.196901,0.000519,0.000381,0.000246,0.000554,0.000343,0.000452,0.000583,0.000880,0.001136,0.004975,0.193446,0.001599,0.053239,0.012935,0.032158,0.198991,0.017160,0.019867,0.143683,0.005831,0.022738,0.982934,0.344741,0.403960,0.293738,0.228698,0.223534,0.245772,0.213342,0.186746,0.167825,0.187413,0.144976,0.165177,0.000439,0.000307,0.000224,0.000424,0.000317,0.000389,0.000510,0.000723,0.001095,0.004443,0.080068,0.001423,0.022185,tremoulo1
0.047667,0.043232,3.224926,0.112562,0.157537,0.235290,0.003199,0.056393,-24.059731,1.395762,-1.248516,0.017227,-0.025580,-0.826072,-0.771622,-0.122597,0.050992,1.079930,0.014042,-0.531961,-0.232962,0.000925,0.000685,0.000453,0.000870,0.001141,0.011907,0.001072,0.001599,0.001831,0.004980,0.119311,0.012415,0.032760,0.007210,0.020684,0.087114,0.019418,0.027788,0.095476,0.001925,0.007868,0.777348,0.367119,0.359236,0.359128,0.312227,0.265484,0.277440,0.259596,0.192641,0.231149,0.188578,0.175278,0.189422,0.000547,0.000366,0.000287,0.000548,0.000759,0.008581,0.000757,0.001030,0.001361,0.003043,0.047034,0.009109,0.012662,tremoulo1
0.049146,0.053107,3.243404,0.109069,0.146921,0.278005,0.002311,0.077672,-22.749893,1.508389,-0.356971,0.050587,-0.436428,-0.096555,-0.409483,-0.010742,-0.108483,-0.400024,-0.232154,-0.974676,-0.363376,0.003919,0.025413,0.049583,0.008245,0.001893,0.003020,0.002973,0.004111,0.028124,0.005716,0.003196,0.000655,0.016740,0.012504,0.016282,0.057170,0.015421,0.019893,0.133507,0.001328,0.017368,0.735156,0.368705,0.292472,0.235078,0.232427,0.275137,0.249500,0.187403,0.207168,0.199344,0.191214,0.205163,0.184667,0.003566,0.015985,0.023944,0.007921,0.001779,0.002190,0.003178,0.002907,0.013138,0.004476,0.002651,0.000655,0.005679,tremoulo1
0.040901,0.050049,3.213850,0.100779,0.152558,0.121966,0.002603,0.050948,-22.489693,2.087745,-0.771240,0.237637,-0.147978,-0.310338,-0.370312,-0.000934,-0.112898,0.144024,0.329001,-0.291207,-0.419840,0.021686,0.002552,0.001563,0.002146,0.001693,0.027672,0.003605,0.007611,0.003026,0.014462,0.094330,0.033816,0.027581,0.005175,0.017523,0.085506,0.015467,0.022617,0.039701,0.001166,0.004307,0.518961,0.271563,0.228384,0.259139,0.233908,0.194452,0.269310,0.251240,0.182383,0.202030,0.194897,0.198011,0.164144,0.011151,0.002022,0.001275,0.001181,0.000955,0.011650,0.002671,0.005249,0.002649,0.010224,0.034581,0.020233,0.007429,tremoulo1
0.056781,0.035319,3.183827,0.129387,0.162102,0.536564,0.002496,0.090607,-23.584860,1.642881,-0.304094,-0.370848,-0.828004,-0.640144,-0.612894,0.615290,0.352159,0.259085,-0.465441,-0.439325,0.261604,0.095815,0.024936,0.002105,0.002430,0.001787,0.004696,0.003576,0.005390,0.004204,0.007730,0.005871,0.005978,0.027397,0.018798,0.016445,0.120826,0.014619,0.016212,0.257361,0.001510,0.028828,0.756484,0.369003,0.290154,0.269827,0.232666,0.296913,0.257318,0.250295,0.232182,0.230786,0.200930,0.170461,0.158853,0.046656,0.017655,0.001550,0.001365,0.001264,0.005567,0.003581,0.003667,0.004137,0.006133,0.004572,0.005428,0.011399,tremoulo1
0.042083,0.061497,3.144879,0.121803,0.168624,0.195639,0.007500,0.043487,-25.139613,0.777490,-1.528701,-0.264945,0.720751,0.208575,-0.568466,-0.933213,0.715735,0.136400,-0.359733,-0.153024,0.211095,0.000664,0.000441,0.000274,0.000462,0.000313,0.000425,0.000575,0.000707,0.001165,0.004407,0.193555,0.002116,0.053302,0.005175,0.037817,0.157328,0.015775,0.021340,0.075237,0.006502,0.009234,0.821940,0.360810,0.352679,0.225225,0.168280,0.189419,0.184141,0.162823,0.156738,0.135173,0.136740,0.118593,0.133237,0.000427,0.000279,0.000176,0.000345,0.000308,0.000373,0.000413,0.000506,0.001005,0.003920,0.069220,0.001479,0.019172,tremoulo1
